name,address,latitude,longitude,category_large,category_small,source_file
롯데슈퍼 코엑스점,서울특별시 강남구 봉은사로103길 5 (삼성동),37.5150173640349,127.061407747841,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS더프레시 성북돈암점,"서울특별시 성북구 북악산로 844 (돈암동, 돈암이수브라운스톤아파트)",37.5973870636459,127.019322962491,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS더프레시 동소문점,"서울특별시 성북구 성북로4길 52 (돈암동, 한진아파트)",37.5944725333435,127.012706037821,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
롯데백화점 노원점,서울특별시 노원구 동일로 1414 (상계동),37.6552787315469,127.061391730931,생활/편의,복합쇼핑몰,large_scale_shop_seoul_cleaned.csv
롯데쇼핑(주)롯데슈퍼풍납점,서울특별시 송파구 강동대로9길 20 (풍납동),37.5279697102875,127.117015514458,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 신방화역점,"서울특별시 강서구 마곡서1로 115-1, 마곡헤리움1차 111~114호 (마곡동)",37.5667077205368,126.818571159801,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
㈜지에스리테일 GS수퍼 강북미아점,서울특별시 강북구 삼양로27길 35-21 (미아동),37.6179766319717,127.018934343303,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
이마트에브리데이 이태원점,"서울특별시 용산구 회나무로13길 20-4, 일각빌딩 1층 (이태원동)",37.5403540192509,126.989876760479,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
Chapter M,서울특별시 중구 명동8나길 38 (충무로1가),37.5617094550686,126.982674651463,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
㈜이마트에브리데이 양천향교역점,"서울특별시 강서구 허준로 16-12, 동남빌딩 (가양동)",37.5703291249212,126.84346068548,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
낙원상가,"서울특별시 종로구 삼일대로 428, 낙원상가 506호 (낙원동)",37.5727635233966,126.987902476529,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
지에스 더프레시(GS THE FRESH) 고덕그라시움점,"서울특별시 강동구 고덕로 353, 고덕그라시움아파트(상가1동) 지하1층 108-119,128호 (고덕동)",37.557135101795,127.164510295845,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
낙원상가,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",37.5727635233966,126.987902476529,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 관악봉천점,"서울특별시 관악구 은천로 81 (봉천동, 은천빌딩)",37.4869864171229,126.944363342754,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 구의역점,"서울특별시 광진구 자양로18길 33, 1층 (구의동)",37.5379950453599,127.085377532762,생활/편의,대형마트,large_scale_shop_seoul_cleaned.csv
이마트에브리데이 휘경자이점,"서울특별시 동대문구 외대역동로 63-27, 상가동 201~203호 (휘경동, 휘경자이디센시아)",37.5917863312852,127.061256881457,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
롯데쇼핑(주)롯데슈퍼개화산점,서울특별시 양천로6길 15,37.5719974667348,126.807704315128,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
롯데쇼핑(주)롯데슈퍼방이점,서울특별시 송파구 올림픽로32길 20 (방이동),37.514223190787,127.109223321372,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
마포농수산물시장,서울특별시 마포구 월드컵로 235 (성산동),37.5651993471439,126.898482842617,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
