상호명,주소,카테고리_대,카테고리_소,위도,경도
경희궁골프앤투어,서울특별시 종로구 통일로 246-10 246 무악현대아파트,운동 시설,골프 연습장,37.5752161059886,126.958477041582
GS25남대문타운점,서울특별시 중구 남대문로 30 30,생활/편의,편의점,37.5608416581943,126.979050101172
필라테스소피,서울특별시 강남구 선릉로111길 23 23,운동 시설,요가/필라테스 학원,37.5103530914487,127.041690590259
총비식품,서울특별시 은평구 가좌로11길 22-6 22,생활/편의,슈퍼마켓,37.5961791350629,126.906026268056
삼일식품,서울특별시 용산구 한강대로 196-4 196,생활/편의,슈퍼마켓,37.5357480428031,126.97493869672
서울에이치과의원,서울특별시 영등포구 의사당대로 108 108 미성,의료,치과의원,37.5210128870586,126.923993785308
척추나한의원,서울특별시 동대문구 왕산로 185 185,의료,한의원,37.5800986711123,127.043801203949
목동서울청내과,서울특별시 양천구 목동로 203 203,의료,내과/소아과 의원,37.526707220392304,126.863814228062
골프스타디움,서울특별시 성동구 아차산로7길 21 21,운동 시설,골프 연습장,37.5472077167179,127.054792505967
폼스튜디오,서울특별시 성북구 한천로78길 68 68,운동 시설,요가/필라테스 학원,37.6134524921127,127.065204472737
크린토피아공덕,서울특별시 마포구 마포대로11길 41 41,생활/편의,세탁소,37.5490486904937,126.951950701312
김치와밤참,서울특별시 노원구 섬밭로 229 229 하계동극동건영벽산아파트,생활/편의,반찬/식료품 소매업,37.6366172265729,127.064544932301
대성식품,서울특별시 영등포구 영신로47길 4-2 4,생활/편의,반찬/식료품 소매업,37.5230502740214,126.901163220692
８８헬스,서울특별시 마포구 월드컵로 87 87 마포로얄프라자,운동 시설,헬스장,37.5564748414146,126.909245047232
두곰,서울특별시 도봉구 해등로16길 80 80,생활/편의,슈퍼마켓,37.6547183493085,127.044218967549
현대사,서울특별시 송파구 백제고분로34길 14 14,생활/편의,세탁소,37.5013812862614,127.098649881217
편한몸한의원,서울특별시 금천구 벚꽃로 298 298 대륭포스트타워6차,의료,한의원,37.4814441360817,126.883874400754
지에스25옥수상떼뷰점,서울특별시 성동구 독서당로 166 166 성원상떼뷰,생활/편의,편의점,37.5405794873167,127.01166585598
총각상회,서울특별시 서대문구 모래내로13길 25-6 25,생활/편의,슈퍼마켓,37.5702658324128,126.917061461627
장미세탁,서울특별시 서초구 사평대로57길 105 105,생활/편의,세탁소,37.5085294586131,127.021466852044
원천슈퍼,서울특별시 중랑구 동일로109길 69 69,생활/편의,슈퍼마켓,37.591110251845,127.07636051191
송정마트,서울특별시 성동구 동일로 261-1 261,생활/편의,슈퍼마켓,37.5549747017476,127.070993194972
계성샛별사회적협동조합,서울특별시 성북구 길음로 63 63 계성고등학교,생활/편의,슈퍼마켓,37.607495221806,127.020181537005
바른눈서울안과,서울특별시 강남구 테헤란로 401 401 남경센터,의료,안과 의원,37.504971227952,127.049140696908
동미사,서울특별시 성북구 한천로99길 24-2 24,생활/편의,세탁소,37.6213162499837,127.050655744287
후핏,서울특별시 용산구 이촌로 274 274 우진상가,운동 시설,요가/필라테스 학원,37.5187015280644,126.977116261321
미광사,서울특별시 동작구 사당로22길 5-4 5,생활/편의,세탁소,37.4831027270558,126.976833156121
신광전자크리닝,서울특별시 종로구 종로67길 4 4,생활/편의,세탁소,37.5750233079471,127.021078394369
