RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11710,송파구,10700,가락동,1,대지,0096,0001,우성,20260209,211000,109.25,0.0,15.0,,,1986.0,아파트,중개거래,서울 송파구
2026,11530,구로구,11000,온수동,1,대지,0044,0001,동진빌라,20260209,32000,42.435,52.0,3.0,,,1988.0,연립다세대,직거래,
2026,11740,강동구,10800,성내동,1,대지,0081,0002,더존예가C,20260209,18750,17.68,5.0,8.0,,,2018.0,연립다세대,직거래,
2026,11680,강남구,10100,역삼동,1,대지,0824,0025,대우디오빌플러스,20260209,29000,38.96,48.49,9.0,,,2004.0,오피스텔,중개거래,서울 강남구
2026,11470,양천구,10200,목동,1,대지,0732,0014,영도빌라,20260209,13000,31.14,21.0,2.0,,20260212,1991.0,연립다세대,중개거래,서울 양천구
2026,11530,구로구,10700,개봉동,1,대지,0488,0000,영화아이닉스,20260209,61000,84.98,0.0,21.0,,,2005.0,아파트,중개거래,서울 구로구
2026,11530,구로구,10600,고척동,1,대지,0328,0000,양우,20260209,44500,59.94,0.0,7.0,,,2000.0,아파트,중개거래,서울 구로구
2026,11500,강서구,10600,내발산동,1,대지,0692,0007,우성아트빌,20260209,15700,24.05,21.0,3.0,,,2013.0,연립다세대,중개거래,서울 강서구
2026,11710,송파구,11200,오금동,1,대지,0009,0001,우성빌라,20260209,34000,49.95,41.0,1.0,,,1990.0,연립다세대,중개거래,서울 송파구
2026,11500,강서구,10200,등촌동,1,대지,0656,0036,아이디움,20260209,8300,17.31,23.97,2.0,,,2014.0,오피스텔,중개거래,서울 강서구
2026,11260,중랑구,10600,신내동,1,대지,0802,0000,우남푸르미아,20260209,65000,81.75,0.0,15.0,,,2005.0,아파트,중개거래,"서울 광진구, 서울 중랑구"
2026,11230,동대문구,10400,전농동,1,대지,0060,0129,스타팰리스,20260209,23000,17.16,18.0,3.0,,,2013.0,연립다세대,중개거래,서울 동대문구
2026,11620,관악구,10200,신림동,1,대지,1730,0000,신림푸르지오,20260209,104500,114.84,0.0,24.0,,,2005.0,아파트,중개거래,서울 관악구
2026,11470,양천구,10300,신월동,1,대지,0480,0013,성재세인트빌,20260209,23000,37.41,26.0,3.0,,,2011.0,연립다세대,중개거래,서울 양천구
2026,11470,양천구,10300,신월동,1,대지,1017,0000,대방샤인힐,20260209,50500,59.648,0.0,13.0,,,2003.0,아파트,중개거래,서울 양천구
2026,11305,강북구,10100,미아동,1,대지,1363,0000,수유지웰에스테이트,20260209,8600,15.885,13.0,3.0,,,2015.0,연립다세대,직거래,
2026,11320,도봉구,10500,쌍문동,1,대지,0726,0000,신일라이프,20260209,46500,81.68,0.0,11.0,,,2002.0,아파트,중개거래,서울 도봉구
